<ROOT>
GI Jen's Army Surplus,256 - 13 Street North,Lethbridge,T1H 2R7,(403) 327-6769,
Big Way Surplus,5202 - 50TH STREET,Athabasca,T9S 1S8,(780) 675-1212,
911 Supply & Adventure Gear Inc.,4327 A  Manhattan Rd S.E.,Calgary,T2G 4B1,(403) 287-1911,
Plastic Soldier Airsoft Ltd.,3105A 34 Ave. SE,Calgary,T2B 2M6,(403) 585-4388,
TRADEMARK WORKWEAR INC.,91 Skyline Crescent Northeast,CALGARY,T2K 5X2,(403) 275-1171,
Appara Shoes 2010,5123 50th Ave.,Cold Lake,T9M 1P3,(780) 594-3222,
Lifestar Medical & Rescue,198-11215 Jasper Ave. NW,Edmonton,T5K 0L5,(780) 474-2405,
Milarm Co. Ltd.,10769 - 99 Street,Edmonton,T5H 4H6,(780) 424-5281,
PPCLI KIT SHOP,PO BOX 10500 Stn Forces,Edmonton,T5J 4J5,780-973-4011 5454,
SA Uniform,10704  181street,Edmonton,T5S 1K8,(780) 483-6691,
Semaka Holdings,10007 - 167 Street,Edmonton,T5P 3W3,(780) 443-0543,
SUPPLY SERGEANT,#2686 8882-170 STREET NW,EDMONTON,T5T 4J2,(780) 444-1540,
FRONTLINE TACTICAL SOLUTIONS,168 MAYFLOWER CRESCENT,FORT MCMURRAY,T9K 0H1,(780) 370-8408,
The Kings Coat,5428 - 43 ST.,Red Deer,T4N 1C9,(403) 342-1699,
AMYOTTE'S AWARDS & PROMOTIONS CORP.,28 MUIR DR.,ST. ALBERT,T8N 1G3,(780) 458-0657,
AMYOTTES'S AWARDS CORP. (ONT) LTD.,28 MUIR DRIVE,ST. ALBERT,T8N 1G3,(780) 458-0657,
ARMY & NAVY DEP'T STORE,74 WEST CORDOVA STREET,VANCOUVER,V6B 1C9,(604) 682-6644,
Cammo D.C. Corp.,595 Clearwater Way,Coquitlam,V3C 5W5,(607) 780-4036,
D.S. TACTICAL,742 - 12TH ST.,NEW WESTMINSTER,V3M 4W5,(604) 524-5867,
JUSTICE INSTITUTE BC,715 MCBRIDE BOULEVARD,NEW WESTMINSTER,V3L 5T4,(604) 528-5870,
Three Vets,2200 Yukon Street,Vancouver,V5Y 3P2,(604) 872-5475,
VANCOUVER TACTICAL SUPPLIES,P.O. BOX 19548,VANCOUVER,V5T 4E7,(604) 831-3106,
M.D. Charlton Co. Ltd.,P.O. Box 153,Brentwood Bay,V8M 1R3,(250) 652-5266,
First Response Duty Gear,620 Alberni Ave.,Kamloops,V2B 1T1,(250) 554-2763,
Esta Trading Co. Inc.,1911 Dayton Street,Kelowna,V1Y 8A7,(250) 868-2286,
Centre City Surplus,1222 - 4th Avenue,Prince George,V2L 3J4,(250) 564-2400,
Mountain Magic Ltd.,2393 King George Hwy.,South Surrey,V4A 5A4,(604) 535-5182,
JO-BROOK FIREARMS,C-909 - 24TH STREET,BRANDON,R7B 1Y5,(204) 727-3552,
UNION SHOE STORE,618 ROSSER AVENUE,BRANDON,R7A 0K7,(204) 727-2806,
CORPORATE SECURITY SUPPLY,891 CENTURY STREET UNIT A,WINNIPEG,R3H 0M3,(204) 989-1000,
Laser Security Ltd.,2082 Ness Ave.,Winnipeg,R3J 0Z3,(204) 837-7812,
Tough Work Wear,1184 Sanford St.,Winnipeg,R3E 2Z9,(204) 775-6498,
DAUPHIN ARMY NAVY STORE,434 1ST. Ave. N.E.,Dauphin,R7N 1A9,(204) 638-6721,
BASS PRO INC. Change,SPORTSMAN'S PARK CENTER,SPRINGFIELD,65898,(417) 873-5000,
PRO-AM OUTFITTERS INC.,http://www.proamoutfitters.com,HANWELL,E3C 2B8,(506) 454-8083,http://www.proamoutfitters.com
SERVICE SHOE REPAIR & BOOT SHOP LTD.,55 MECHANIC ST.,MONCTON,E1C 4V4,(506) 389-3000,
K4 EME CANTEEN,CFB GAGETOWN MAINT COY,OROMOCTO,E2V 4J5,(506) 422-2000,
Wheeler Accessories Ltd.,1971 Lincoln Rd,Fredericton,E3B 6C2,(800) 561-3040,
Green-Lee Shoes Ltd.,59 Bentley St.,Saint John,E2K 1B2,(800) 463-7411,
ATLANTIC OILFIELD & INDUSTRIAL SUPPLY,84 GLENCOE DR.,MOUNT PEARL,A1N 4S9,(709) 745-7545,
LABRADOR-GRENFELL HEALTH,178-200 WEST STREET,ST. ANTHONY,A0K 4S0,(709) 454-0136,
Responder Training Services,14 Churchill Court,Dartmouth,B2X 1N4,(902) 402-4746,
Uniform Works Limited,10 Akerley Boulevard,Dartmouth,B3B 1J4,(902) 468-5367,
VIKING POLICE & SECURITY CO.,192 Joseph Zatzman Dr,Dartmouth,B3B 1N4,(902) 482-7140,
Law Enforcement Outfitters,5426 Portland Place,Halifax,B3K 1A1,(902) 482-4704,
THE ARMY NAVY STORE,2660 AGRICOLA STREET,HALIFAX,B3K 4C9,(902) 454-4330,
SOLDIER GEAR,3 MASSEY ST.,ANGUS,L0M 1B0,(705) 423-1190,
MILLBANK TRADING COMPANY,9988 HIGHWAY #28,APSLEY,K0L 1A0,(705) 656-2111,
Pacific Safety Products Inc.,124 Fourth Ave,Arnprior,K7S 0A7,(613) 623-6001,
ANGIE'S OUTDOOR,80 DUNLOP STREET EAST,BARRIE,L4M 1A4,(705) 721-1776,
AFELSKIE SHOES,1957 OPEONGO LINE,BARRY'S BAY,K0J 1B0,(613) 756-2615,
The Army Surplus Store,152 King Street W.,Brockville,K6V 3R5,(613) 342-1967,
WORK AUTHORITY,415 Thompson Drive,Cambridge,N1T 2K7,(800) 563-8481,
BECKER SHOES,70 SANFORD FLEMMING DR.,COLLINGWOOD,L9Y 4V7,(705) 445-7490,
CW AND COMPANY,44 CAMPBELL ST.,COLLINGWOOD,L9Y 2K8,(705) 444-2448,
FRASERS CLOTHES SHOPS,P.O. BOX 276,DEEP RIVER,K0J 1P0,(613) 584-4351,
WASAGA PAINTBALL ADVENTURE INC.,3600 VIGO ROAD,ELMVALE,L0L 1P0,(705) 322-6321,
Carol Bond,Osdirect.ca,Georgetown,L7G 5X9,(905) 877-0254,Osdirect.ca
ARGYLL & SUTHERLAND HIGHLANDERS OF CANADA,200 JAMES ST.,HAMILTON,L8R 2L1,(289) 700-4392,
Hamilton Tactical,220 Nebo Rd.,Hamilton,L8W 2E4,(905) 667-4805,
STURGESS CYCLE,Sturgess Cycle,Hamilton,L8P 1C4,(905) 522-0503,
WOOLCOTT'S SHOES,1050 UPPER JAMES ST.,Hamilton,L9C 3A9,(905) 383-2344,
Sole Mates Footwear,5085 Hwy 69 N.,Hanmer,P3P 1N7,(705) 969-6120,
O.P.S. Inc.,160 4th Avenue,Hanover,N4N 2B3,(519) 364-7901,
Suntrail Outfitters Inc,BOX 29  - HWY 6,HEPWORTH,N0H 1P0,(519) 935-2478,
SAS SMITH ARMY SURPLUS,86 PRINCESS STREET,KINGSTON,K7L 1A8,(613) 546-0305,
FACTORY SHOE,686 VICTORIA ST. NORTH,KITCHENER,N2H 5G1,(519) 743-1569,
GRAND VALLEY INSTITUTION FOR WOMEN,1575 HOMER WATSON,KITCHENER,N2P 2C5,(519) 895-8137,
